datetime,open,high,low,close,volume,open_interest
2020-01-03,375.8,390.0,375.6,383.0,29304112,0
2020-01-10,380.0,399.2,375.4,398.6,86577554,0
2020-01-17,400.0,413.0,396.0,399.0,97777505,0
2020-01-24,405.0,405.0,379.0,385.8,82810052,0
2020-01-31,384.2,389.6,370.2,373.0,77006848,0
2020-02-07,378.0,402.4,369.6,402.4,112199455,0
2020-02-14,395.6,420.0,395.0,415.0,89100607,0
2020-02-21,410.6,419.8,400.0,401.0,70242414,0
2020-02-28,393.2,403.8,384.4,386.0,116683425,0
2020-03-06,384.6,406.8,384.6,395.8,121889255,0
2020-03-13,380.0,389.4,336.0,365.0,183910919,0
2020-03-20,356.0,364.4,325.2,359.6,248303326,0
2020-03-27,340.2,390.0,340.2,382.4,169592127,0
2020-04-03,371.8,386.0,369.6,376.4,94061439,0
2020-04-10,380.0,391.4,376.6,391.4,63663438,0
2020-04-17,396.0,419.6,392.4,409.6,105184202,0
2020-04-24,409.6,415.0,396.0,406.4,83625422,0
2020-05-01,412.8,419.0,410.2,417.0,42054348,0
2020-05-08,408.8,418.2,400.0,418.2,91336788,0
2020-05-15,425.0,447.0,420.0,421.2,137291835,0
2020-05-22,419.0,440.0,410.0,412.4,118319499,0
2020-05-29,410.0,428.4,404.0,410.4,114999337,0
2020-06-05,419.4,437.4,419.2,434.2,105871479,0
2020-06-12,435.0,455.4,427.0,441.0,116545519,0
2020-06-19,435.0,465.6,432.2,460.4,96497376,0
2020-06-26,460.0,505.0,459.2,485.0,98233382,0
2020-07-03,481.0,529.0,481.0,524.5,97008729,0
2020-07-10,524.0,564.0,512.0,546.5,125620758,0
2020-07-17,540.5,556.0,511.0,521.0,112658332,0
2020-07-24,521.0,564.0,513.0,528.0,110241019,0
2020-07-31,530.0,550.0,515.0,534.0,82040602,0
2020-08-07,536.0,564.0,499.4,527.5,136827948,0
2020-08-14,510.0,531.0,501.0,506.5,138273393,0
2020-08-21,508.5,524.5,502.0,518.0,71895058,0
2020-08-28,537.5,560.0,535.0,540.5,100626817,0
2020-09-04,554.5,555.0,513.0,518.0,106089651,0
2020-09-11,516.0,524.5,501.5,516.0,80738279,0
2020-09-18,521.5,538.5,510.5,525.0,74258618,0
2020-09-25,522.0,527.5,502.0,503.5,63149589,0
2020-10-02,505.0,520.0,503.5,511.5,32616407,0
2020-10-09,530.0,545.0,521.5,539.5,60932241,0
2020-10-16,545.0,574.0,543.5,557.0,70650882,0
2020-10-23,562.0,573.0,553.0,561.5,52137808,0
2020-10-30,565.0,614.0,560.5,591.0,100972306,0
2020-11-06,593.0,627.0,573.5,614.5,108258180,0
2020-11-13,630.5,633.0,551.0,602.0,180295223,0
2020-11-20,600.0,603.0,573.0,588.0,84519678,0
2020-11-27,599.0,600.0,571.0,583.0,79732044,0
2020-12-04,582.0,593.0,563.0,588.5,98430802,0
2020-12-11,592.5,592.5,577.5,588.0,54050915,0
2020-12-18,585.5,586.0,553.0,580.0,94860510,0
2020-12-25,580.5,580.5,556.0,556.0,48556974,0
2021-01-01,539.5,569.0,519.0,564.0,139188842,0
2021-01-08,558.0,599.0,557.5,573.0,127906124,0
2021-01-15,581.0,646.0,581.0,645.0,148457483,0
2021-01-22,638.5,700.0,635.5,691.0,158122567,0
2021-01-29,707.0,767.5,681.0,681.5,205581267,0
2021-02-05,698.0,757.0,698.0,733.0,114254357,0
