datetime,open,high,low,close,volume,open_interest
2022-05-31,1000.585,1141.554,993.928,1094.291,785317423,0
2022-06-30,1094.536,1197.835,1092.498,1167.117,1069336393,0
2022-07-31,1165.711,1173.324,1060.976,1061.111,803939139,0
2022-08-31,1060.087,1099.222,1011.509,1038.409,1143598375,0
2022-09-30,1038.148,1081.372,959.454,963.086,1956108023,0
2022-10-31,966.616,988.412,919.255,939.427,1334291435,0
2022-11-30,939.73,1033.646,939.717,1018.866,1576865293,0
2022-12-31,1020.426,1024.502,929.259,942.087,1261707597,0
2023-01-31,942.614,1063.01,936.15,1063.01,886426146,0
2023-02-28,1069.948,1079.707,1000.878,1012.454,1945159461,0
2023-03-31,1011.74,1023.222,947.913,958.692,1511180230,0
2023-04-30,958.182,959.793,906.821,912.752,1292692282,0
2023-05-31,910.243,969.764,904.674,938.959,2713244101,0
2023-06-30,937.941,945.251,875.458,892.024,1944835952,0
2023-07-31,892.078,895.492,840.978,850.681,2389246365,0
2023-08-31,851.158,856.461,751.387,780.186,1972158283,0
2023-09-30,781.9,863.634,781.787,811.215,2368349571,0
2023-10-31,813.206,814.217,702.546,753.518,1324413964,0
2023-11-30,753.252,1114.263,737.237,961.067,15751958999,0
2023-12-31,962.568,1083.876,896.158,1082.676,27150574067,0
2024-01-31,1081.755,1112.221,827.711,838.854,22152955226,0
2024-02-29,834.867,949.078,709.246,920.464,12599155315,0
2024-03-31,922.835,932.802,822.01,845.791,11872214442,0
2024-04-30,847.49,857.604,769.988,814.224,8869222440,0
2024-05-31,826.098,832.412,770.135,771.574,7522802119,0
2024-06-30,771.433,771.433,699.689,708.973,5769162668,0
2024-07-31,710.065,761.426,658.173,717.93,10773579623,0
2024-08-31,718.651,723.792,633.516,654.388,7345697033,0
2024-09-30,653.978,887.817,593.915,880.816,7867191991,0
2024-10-31,1115.763,1389.014,859.183,1266.601,39324163769,0
2024-11-30,1244.449,1469.573,1143.516,1282.495,43055386783,0
2024-12-31,1281.783,1345.99,1037.263,1037.809,24870235051,0
2025-01-31,1034.708,1153.833,988.3,1058.034,14595253920,0
2025-02-28,1075.861,1382.761,1060.608,1306.983,25925304121,0
2025-03-31,1316.481,1447.967,1256.044,1271.138,36116784147,0
2025-04-30,1276.593,1383.337,997.112,1331.132,30927228563,0
2025-05-31,1348.686,1500.31,1342.839,1408.685,28472601006,0
2025-06-30,1397.995,1459.356,1336.788,1447.181,26990016813,0
2025-07-31,1443.567,1466.758,1393.704,1422.872,26734331830,0
2025-08-31,1424.224,1637.504,1410.549,1574.248,25965884953,0
2025-09-30,1575.831,1670.014,1514.201,1528.627,26019117598,0
2025-10-31,1538.337,1618.273,1423.176,1582.714,15450017581,0
2025-11-30,1578.211,1601.602,1375.041,1387.696,16974959226,0
2025-12-31,1390.902,1482.594,1373.989,1440.431,19333007522,0
2026-01-31,1444.233,1547.747,1438.758,1524.263,4993342874,0
